2,1020,"Manuel Acuña","Av. Manuel Acuña No. 3200 Fracc. Monraz Guadalajara, Jalisco C.p. 44690",,,"Guadalajara","Jalisco",,"01 33","36-42-41-13","36-42-43-14","36-42-46-79","36-42-57-31",,"Ext. 134","S"
2,1039,"Zavaleta","Calz. Zavaleta 3320 Col. Santa Cruz Buenavista C.p. 72170 Puebla Pue.",,,"Puebla","Puebla, Pue",,"01 22","21-69-51-52","21-69-51-54","21-69-51-53",,,"Ext.134",
2,1053,"Acoxpa","Calz. Acoxpa No. 438, Esq. Con Calzada De Guadalupe, Col. Ex Hacienda Coapa, C.p. 14300, Del. Tlalpan, D.f.",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-79-26-70","56-79-26-84","56-79-27-23","56-79-27-32",,"56-79-27-66",
2,1074,"Mariano Otero","Av. Mariano Otero 3386 Col. El Colli Zapopan, Jalisco C.p. 45036",,,"Zapopan","Jalisco",,"01 33","38-55-80-01","38-55-81-23","31-33-41-61",,,"Ext. 133",
2,1075,"Providencia","Av. Ignacio Comonfort No. 654 Norte Lote 1 Manzana Vi Col. Residencial La Providencia C.p. 52172 Metepec, Edo. De Mexico",,,"Toluca","Toluca, Edo. Mex",,1722,2351219,2351220,2351221,2351222,,,
2,1100,"Las Torres","Blvd. Lopez Sanabria No. 101 Col. Predio Cerro Gordo C.p. 37160 Leon, Guanajuato",,,"Leon","Guananjuato",,"01 47","77-18-44-38","77-18-45-16","77-18-45-37","77-18-44-90",,"Ext.  106",
2,1112,"San Luis Potosi","Cordillera De Los Alpes No. 710 Col. Lomas 4ta. Sección San Luis Potosí C.p. 78216 Entre Real De Lomas Y Calle Karakora",,,"San Luis Potosi","S.l.p., S.l.p.",,"01 444","825-72-01","825-72-02","825-72-03","825-72-04","825-72-05",,
2,1147,"Morelia","Av. Lic. Enrique Ramirez No.445 Loc. 5 Col. Las Américas Morelia, Mich. C.p. 58270 Entre Canadá Y Venezuela",,,"Morelia","Michoacan",,"01 44","33-24-57-18","33-14-73-89","33-14-87-19","33-15-25-78","33-15-14-10","Ext. 105",
2,1159,"Tejeda","Carret. Celaya-querétaro No. 2  Col. Residencial Tejeda C.p. 76900 Corregidora, Querétaro",,,"Queretaro","Queretaro, Qro.",,"01 442","228-91-08","228-91-29","228-91-30","228-91-31",,,
2,1160,"Tecnologico","Av. Tecnológico 960 Norte, Entre Av. Las Torres, San Salvador Tizatlalli, C.p. 52172, Metepec, Estado De México",,,"Toluca","Toluca, Edo. Mex.",,1722,2715749,2715751,2715752,2715753,,"2715749 Ext 113",
2,1196,"Milenio","Camino Real De Carretas No. 144 Col. Fracc. Milenio Iii Cp 76060, Querétaro, Qro.",,,"Queretaro","Queretaro, Qro.",,"01 442","198-21-04","198-21-05","198-21-06","198-21-07","198-21-09",,
2,1247,"San Jeronimo","Insurgentes Lote 21 Manzana 102 Entre Las Calles San Jemo Y Pirandelo, Col. San Jerónimo, C.p. 64640, Monterrey, Nuevo León",,,"Monterrey","Nuevo Leon",,"01 81","13-08-10-91","13-08-10-87","13-08-10-89",,,,
2,1248,"Zapata","Av. Emiliano Zapata No. 807 Entre Las Calles De Cerritos Y Glorieta Tlaltenango, Col. Tlaltenango, C.p. 62170, Cuernavaca, Morelos",,,"Cuernavaca","Morelos",,"01 777","311-23-46","311-25-80",,,,,
2,1249,"Naciones Unidas","Av. De Los Virreyes No. 565 Entre Las Calles Naciones Unidas, Col. Residencial Virreyes, C.p. 45110, Zapopan, Jalisco",,,"Zapopan","Jalisco",,"01 33","36-27-85-81","36-27-85-82","36-27-85-83 ","36-27-85-84",,,
2,1408,"Valle Dorado","Blvd. Manuel Avila Camacho No. 3130, Tlalnepantla, Estado De México",,,"Area Metropolitana","Estado De Mexico",,"01 55","53-78-63-56","53-78-74-45","53-78-75-25","53-78-76-38",,,
2,1492,"Oliplaza","Av. Río Churubusco No. 583 Esq. Av. La Viga, Col. Sector Popular, C.p. 09060, Deleg. Iztapalapa, D.f.",,,"Area Metropolitana","Mexico, D.f",,"01 55","54-45-57-93","54-45-66-30","54-45-84-88",,,,
2,1493,"La Vista","Blvd. Vía Atlixcayotl No. 1504 Col. Country Club La Vista C.p. 72830 San Andrés Cholula Puebla",,,"Puebla","Puebla, Pue",,"01 22","24-31-26-74","24-31-26-75","24-31-26-76",,,"Ext.105",
2,1528,"Cumbres Cancún","Blvd. Luis Donaldo Colosio, Sm 310, Ma 1, Lt 4-02 S/n Col. Sm 3, Benito Juárez, Cancún, Quintana Roo C.p. 77500",,,"Cancun","Cancun, Quintana Roo",,"01 998","882-18-90","882-03-67",,,,,
