"id_cliente","Num. Tienda","Nombre","Calle","Num.","Colonia","Ciudad","Estado","CP","Teléfono","Teléfono","Teléfono","Fax","Formato"
1,1,"Santo Domingo                                                                   ","Av. Santo Domingo                                                               ",1800,"Villas de Santo Domingo                                                         ","San Nicolás de los Garza                          ","Nuevo León                    ",66437,"(0181) 8329.9000    ","Ext. 5001127        ","                    ","                    ","Soriana"
1,2,"San Isidro                                                                      ","Blvd. Venustiano Carranza                                                       ",4826,"Doctores                                                                        ","Saltillo                                          ","Coahuila                      ",25250,"(01844) 416.0206    ","(01844) 416.0296    ","                    ","(01844) 416.0362    ","Soriana"
1,3,"Escobedo                                                                        ","Av. Parque Industrial                                                           ",201,"Los Girasoles 2o. Sector                                                        ","Escobedo                                          ","Nuevo León                    ",66050,"(0181) 8329.9000    ","Ext. 5003126        ","                    ","Ext. 5003111        ","Soriana"
1,4,"Oriente                                                                         ","Blvd. Torreón-Matamoros                                                         ",5000,"Fracc. La Merced                                                                ","Torreón                                           ","Coahuila                      ",27270,"(01871) 721.2263    ","(01871) 721.3750    ","(01871) 721.5743    ","                    ","Soriana"
1,5,"Vallarta                                                                        ","Av. Colón y Bernardo Reyes                                                      ","S/N","Industrial                                                                      ","Monterrey                                         ","Nuevo León                    ",64000,"(0181) 8329.9000    ","Ext. 5005126 / 127  ","                    ","Ext. 5005111        ","Soriana"
1,6,"Tecnológico                                                                     ","Av. Tecnológico                                                                 ",6902,"Fracc. Santa Bárbara                                                            ","Chihuahua                                         ","Chihuahua                     ",31150,"(01614) 440.0031    ","(01614) 440.0032    ","(01614) 440.0033    ","                    ","Soriana"
1,7,"Contry                                                                          ","Av. Eugenio Gaza Sada y Alfonso Reyes                                           ","S/N","Contry                                                                          ","Monterrey                                         ","Nuevo León                    ",64860,"(0181) 8329.9000    ","Ext. 5007126 / 127  ","                    ","Ext. 5007111        ","Soriana"
1,8,"Guadalupe                                                                       ","Av. Benito Juárez                                                               ",601,"La Huerta                                                                       ","Guadalupe                                         ","Nuevo León                    ",67140,"(0181) 8329.9000    ","Ext. 5008126 / 127  ","                    ","Ext. 5008111        ","Soriana"
1,9,"La Fe                                                                           ","Av. Félix Galván esquina con Av. Miguel Alemán                                  ",100,"La Fe                                                                           ","San Nicolás de los Garza                          ","Nuevo León                    ",66447,"(0181) 8329.9000    ","Ext. 5009126 / 127  ","                    ","Ext. 5009111        ","Soriana"
1,10,"Lincoln                                                                         ","Av. Abraham Lincoln y Gonzalitos                                                ","S/N","Mitras Norte                                                                    ","Monterrey                                         ","Nuevo León                    ",64320,"(0181) 8329.9000    ","Ext. 5010126 / 127  ","                    ","Ext. 5010111        ","Soriana"
1,11,"Francisco Coss                                                                  ","Blvd. Francisco Coss                                                            ","S/N","Centro                                                                          ","Saltillo                                          ","Coahuila                      ",25000,"(01844) 415.8808    ","(01844) 415.4630    ","(01844) 415.4648    ","(01844) 415.4690    ","Soriana"
1,12,"San Nicolás                                                                     ","Av. Alfonso Reyes y Fray Bartolomé de las Casas                                 ",601,"El Roble                                                                        ","San Nicolás de los Garza                          ","Nuevo León                    ",66450,"(0181) 8329.9000    ","Ext. 5012126 / 127  ","                    ","(0181) 8332.3837    ","Soriana"
1,13,"Monclova                                                                        ","Brasil y Huemac                                                                 ","S/N","Anáhuac                                                                         ","Monclova                                          ","Coahuila                      ",25750,"(01866) 631.2400    ","(01866) 631.2411    ","(01866) 631.2503    ","(01866) 631.2705    ","Soriana"
1,14,"San Pedro                                                                       ","Av. Humberto Lobo y Río Guadalquivir                                            ",520,"Del Valle                                                                       ","San Pedro Garza García                            ","Nuevo León                    ",66200,"(0181) 8329.9000    ","Ext. 2226  / 2218   ","                    ","Ext. 2211           ","Soriana"
1,15,"López Mateos                                                                    ","Perimetral Carlos Amaya                                                         ",2125,"Partido Iglesias                                                                ","Cd. Juárez                                        ","Chihuahua                     ",32380,"(01656) 639.0374    ","(01656) 639.0380    ","                    ","                    ","Soriana"
1,16,"Bugambilias                                                                     ","Bugambilias y Prolongación Mariano Otero                                        ","130-A","Bugambilias                                                                     ","Zapopan                                           ","Jalisco                       ",45120,"(0133) 3612.9592    ","(0133) 3612.9593    ","(0133) 3693.5265    ","                    ","Soriana"
1,17,"Matamoros                                                                       ","Av. Pedro Cárdenas Gtz.                                                         ",1900,"Victoria                                                                        ","Matamoros                                         ","Tamaulipas                    ",87300,"(01868) 817.4538    ","(01868) 817.4539    ","(01868) 817.3548    ","(01868) 817.3548    ","Soriana"
1,18,"Hidalgo                                                                         ","Blvd. Hidalgo y Fuente de Diana Km. 101                                         ","S/N","Fracc. Las Fuentes                                                              ","Reynosa                                           ","Tamaulipas                    ",88710,"(01899) 923.4771    ","(01899) 923.4060    ","                    ","(01899) 923.1541    ","Soriana"
1,19,"Reforma                                                                         ","Blvd. Reforma y 15 de Septiembre                                                ","S/N","Campestre                                                                       ","Nuevo Laredo                                      ","Tamaulipas                    ",88278,"(01867) 715.3121    ","(01867) 715.1334    ","(01867) 715.3301    ","                    ","Soriana"
1,20,"Santa Catarina                                                                  ","Blvd. Díaz Ordaz                                                                ","S/N","La Fama                                                                         ","Santa Catarina                                    ","Nuevo León                    ",66350,"(0181) 8329.9000    ","Ext. 5020126 / 127  ","                    ","Ext. 5020111        ","Soriana"
1,21,"Piedras Negras                                                                  ","Av. Industrial y Carretera 57                                                   ",203,"Venustiano Carranza                                                             ","Piedras Negras                                    ","Coahuila                      ",26070,"(01878) 783.2142    ","(01878) 783.2022    ","(01878) 783.2716    ","(01878) 783.1899    ","Soriana"
1,22,"Linda Vista                                                                     ","Av. Ruiz Cortínez y Gral. Bonifacio Salinas                                     ",600,"León XII                                                                        ","Guadalupe                                         ","Nuevo León                    ",67120,"(0181) 8329.9000    ","Ext. 5022126 / 127  ","                    ","Ext. 5022111        ","Soriana"
1,23,"Félix U. Gómez                                                                  ","Av. Félix U. Gómez y Av. Los Angeles                                            ",1732,"Juana de Arco                                                                   ","Monterrey                                         ","Nuevo León                    ",64510,"(0181) 8329.9000    ","Ext.  8726 / 8727   ","                    ","(0181) 8331.1343    ","Soriana"
1,24,"Cumbres                                                                         ","Alejandro de Rodas                                                              ","3102-A","Cumbres 8tvo. Sector                                                            ","Monterrey                                         ","Nuevo León                    ",64610,"(0181) 8329.9000    ","Ext. 2526 / 2527    ","                    ","                    ","Soriana"
1,25,"Independencia                                                                   ","Blvd. Independencia Ote.                                                        ",1100,"Centro                                                                          ","Torreón                                           ","Coahuila                      ",27000,"(01871) 729.7200    ","(01871) 729.7201    ","(01871) 729.7202    ","(01871) 729.7202    ","Soriana"
1,26,"San Lorenzo                                                                     ","Paseo Triunfo de la República                                                   ",5298,"San Lorenzo                                                                     ","Cd. Juárez                                        ","Chihuahua                     ",32320,"(01656) 629.4300    ","(01656) 629.4304    ","                    ","(01656)  629.4305   ","Soriana"
1,27,"Santa María                                                                     ","Av. Pablo Livas Ote.                                                            ",7500,"Santa María                                                                     ","Guadalupe                                         ","Nuevo León                    ",67190,"(0181) 8329.9000    ","Ext. 5027126 /127   ","                    ","Ext. 5027111        ","Soriana"
1,28,"Río Nilo                                                                        ","Av. Río Nilo                                                                    ",1000,"Lomas del Nilo                                                                  ","Guadalajara                                       ","Jalisco                       ",44860,"(0133) 3818.0000    ","                    ","                    ","(0133) 3818.0002    ","Soriana"
1,29,"Henequén                                                                        ","Av. de las Torres y Henequén                                                    ",6975,"Las Dunas                                                                       ","Cd. Juárez                                        ","Chihuahua                     ",32650,"(01656) 624.7974    ","(01656) 624.8581    ","(01656) 641.1636    ","                    ","Soriana"
1,30,"Malecón                                                                         ","Blvd. Mariano Escobedo Ote.                                                     ",3002,"Tlacuache                                                                       ","León                                              ","Guanajuato                    ",37500,"(01477) 710.2900    ","(01477) 710.2901    ","(01477) 710.2903    ","(01477) 710.2906    ","Soriana"
1,31,"Del Río                                                                         ","Av. Américo Villarreal                                                          ",136,"Antonio J. Bermúdez                                                             ","Reynosa                                           ","Tamaulipas                    ",67727,"(01899) 926.3208    ","(01899) 926.3209    ","(01899) 926.3213    ","                    ","Soriana"
1,32,"Jacarandas                                                                      ","Av. Arboledas                                                                   ",1200,"Fracc. San Miguel                                                               ","Irapuato                                          ","Guanajuato                    ",36510,"(01462) 625.1116    ","(01462) 625.1182    ","                    ","(01462) 625.1176    ","Soriana"
1,33,"Colón                                                                           ","Calzada Colón Sur                                                               ",400,"Centro                                                                          ","Torreón                                           ","Coahuila                      ",27000,"(01871) 759.0630    ","(01871) 759.0632    ","                    ","                    ","Soriana"
1,34,"Centro                                                                          ","Av. Hidalgo                                                                     ",1550,"Centro                                                                          ","Torreón                                           ","Coahuila                      ",27000,"(01871) 712.6954    ","(01871) 712.2872    ","                    ","                    ","Soriana"
1,35,"20 de Noviembre                                                                 ","Av. 20 de Noviembre Ote.                                                        ",209,"Centro                                                                          ","Durango                                           ","Durango                       ",34000,"(01618) 829.0301    ","(01618) 829.0302    ","(01618) 829.0303    ","(01618) 829.0304    ","Soriana"
1,36,"Niños Héroes                                                                    ","Av. Niños Héroes                                                                ",1,"Centro                                                                          ","Chihuahua                                         ","Chihuahua                     ",31000,"(01614) 410.4960    ","(01614) 410.7081    ","                    ","                    ","Soriana"
1,37,"Gómez Palacio                                                                   ","Av. Victoria y Urrea                                                            ","S/N","Centro                                                                          ","Gómez Palacio                                     ","Durango                       ",35000,"(01871) 737.3486    ","(01871) 737.3487    ","(01871) 737.3489    ","                    ","Soriana"
1,38,"Universidad                                                                     ","Av. Universidad                                                                 ",3500,"Magisterial                                                                     ","Chihuahua                                         ","Chihuahua                     ",31170,"(01614) 439.1200    ","(01614) 439.1201    ","(01614) 439.1201    ","(01614) 439.1202    ","Soriana"
1,39,"Sanders                                                                         ","Calz. Eduardo Sander´s                                                          ","S/N","Barreal                                                                         ","Cd. Juárez                                        ","Chihuahua                     ",32040,"(01656) 632.2549    ","(01656) 632.2339    ","                    ","                    ","Soriana"
1,40,"Aguascalientes                                                                  ","Av. Universidad y Blvd. Aguascalientes                                          ","S/N","Bosques del Prado                                                               ","Aguascalientes                                    ","Aguascalientes                ",20120,"(01449) 912.0603    ","(01449) 912.0363    ","                    ","(01449) 914.8489    ","Soriana"
1,41,"Fundadores                                                                      ","Blvd. Revolución y Calz. Saltillo 400                                           ","S/N","Campestre La Rosita                                                             ","Torreón                                           ","Coahuila                      ",27250,"(01871) 732.5765    ","(01871) 732.0730    ","(01871) 732.6721    ","                    ","Soriana"
1,42,"Plaza Juárez                                                                    ","Ejército Nacional y  Av. Tecnológico                                            ",2701,"El Marquéz                                                                      ","Cd. Juárez                                        ","Chihuahua                     ",32601,"(01656) 623.7867    ","(01656) 623.7868    ","(01656) 623.7870    ","                    ","Soriana"
1,43,"Constitución                                                                    ","Blvd. Constitución                                                              ",1111,"Margaritas                                                                      ","Torreón                                           ","Coahuila                      ",27130,"(01871) 713.7492    ","(01871) 713.7639    ","(01871) 713.7765    ","                    ","Soriana"
1,44,"Zacatecas                                                                       ","Blvd. López Portillo y Calz. García Salinas                                     ",1,"Fovissste                                                                       ","Zacatecas                                         ","Zacatecas                     ",98064,"(01492) 923.1091    ","(01492) 923.1089    ","                    ","(01492) 923.3357    ","Soriana"
1,45,"Madero                                                                          ","Av. Domingo Arrieta y Chihuahua                                                 ",700,"Fraccionamiento Francisco I. Madero                                             ","Durango                                           ","Durango                       ",34150,"(01618) 813.8670    ","(01618) 827.6642    ","(01618) 827.6643    ","                    ","Soriana"
1,46,"Delicias                                                                        ","Calz. Gómez Morín Ote.                                                          ","S/N","Centro                                                                          ","Delicias                                          ","Chihuahua                     ",33000,"(01639) 472.4523    ","(01639) 472.4686    ","(01639) 472.4533    ","(01639)  472.4845   ","Soriana"
1,47,"Las Fuentes                                                                     ","Calle del Arcángel                                                              ",20,"La Fuente                                                                       ","Torreón                                           ","Coahuila                      ",27280,"(01871) 732.2258    ","(01871) 721.9547    ","                    ","(01871) 763.0573    ","Soriana"
1,48,"Jardines                                                                        ","Blvd. Francisco Villa y Magnolia                                                ",100,"Jardines de Durango                                                             ","Durango                                           ","Durango                       ",34220,"(01618) 143.4206    ","(01618) 143.4208    ","(01618) 143.4210    ","                    ","Soriana"
1,49,"Las Rosas                                                                       ","Blvd. Miguel Alemán                                                             ",1495,"Las Rosas                                                                       ","Gómez Palacio                                     ","Durango                       ",35090,"(01871) 737.3484    ","(01871) 737.3479    ","(01871) 737.3480    ","                    ","Soriana"
1,50,"Fresnos                                                                         ","Manuel Herrera                                                                  ",101,"Las Praderas                                                                    ","Apodaca                                           ","Nuevo León                    ",66636,"(0181) 8329.9000    ","Ext. 5050119        ","Ext. 5050120        ","N/A                 ","Soriana"
1,51,"Las Palmas                                                                      ","Juana B. Tijerina Norte                                                         ",2033,"Fracc. Las Palmas                                                               ","Cd. Victoria                                      ","Tamaulipas                    ",87140,"(01834) 314.3152    ","(01834) 314.3154    ","(01834) 314.3157    ","(01834) 314.3153    ","Soriana"
1,52,"Pape                                                                            ","Blvd. Harold Pape                                                               ",1202,"Loma                                                                            ","Monclova                                          ","Coahuila                      ",25770,"(01866) 633.9606    ","(01872) 633.9608    ","(01872) 633.9609    ","(01872) 633.9622    ","Soriana"
1,53,"Las Torres                                                                      ","Av. Lázaro Cárdenas                                                             ",2801,"Los Rosales                                                                     ","Monterrey                                         ","Nuevo León                    ",64640,"(0181) 8329.9000    ","Ext. 5053119        ","Ext. 5053126        ","Ext. 5053111        ","Soriana"
1,54,"San Agustín                                                                     ","Av. Real de San Agustín                                                         ",314,"Residencial San Agustín                                                         ","San Pedro Garza García                            ","Nuevo León                    ",66260,"(0181) 8329.9000    ","Ext. 5054119        ","Ext. 5054126        ","Ext. 5054111        ","Soriana"
1,55,"Mirador                                                                         ","Indiana entre Blvd. Ortiz Mena y Av. Mirador                                    ",3300,"Las Águilas                                                                     ","Chihuahua                                         ","Chihuahua                     ",31237,"(01614) 423.3573    ","(01614) 423.3574    ","(01614) 423.3578    ","(01614) 423.3576    ","Soriana"
1,56,"Ejército                                                                        ","Av. Ejército Mexicano y Estadio                                                 ",1101,"Tampico                                                                         ","Tampico                                           ","Tamaulipas                    ",89137,"(01833) 213.9447    ","(01833) 213.8725    ","(01833) 217.8881    ","(01833) 213.4554    ","Soriana"
1,57,"Zapopan                                                                         ","Periférico Norte y Blvd. B. de San Isidro                                       ","221-A","Valle de San Isidro                                                             ","Zapopan                                           ","Jalisco                       ",45130,"(0133) 3364.1783    ","(0133) 3364.1784    ","(0133) 3364.1785    ","                    ","Soriana"
1,58,"Lauro Villar                                                                    ","Av. Lauro Villar y Acción Cívica                                                ",1203,"Las Arboledas                                                                   ","Matamoros                                         ","Tamaulipas                    ",87448,"(01868) 814.3584    ","(01868) 814.3585    ","(01868) 814.3586    ","                    ","Soriana"
1,59,"La Puerta                                                                       ","Calle Urano                                                                     ",2620,"Puerta del Sol                                                                  ","Santa Catarina                                    ","Nuevo León                    ",66367,"(0181) 8329.9000    ","Ext. 5059119        ","Ext. 5059126        ","Ext. 5059111        ","Soriana"
1,60,"Fresnillo                                                                       ","Av. Plateros y Paseo del Mineral (antes Libramiento de tránsito pesado)         ",429,"Barrio Alto                                                                     ","Fresnillo                                         ","Zacatecas                     ",99070,"(01493) 932.8642    ","                    ","                    ","(01493) 932.8577    ","Soriana"
1,61,"Cordilleras                                                                     ","Av. Manuel J. Clouthier y Av. Patria                                            ",888,"Jardines de Guadalupe                                                           ","Zapopan                                           ","Jalisco                       ",45050,"(0133) 3620.3282    ","(0133) 3620.2887    ","                    ","                    ","Soriana"
