id_cliente,"Num. Tienda",Nombre,Calle,Num.,Colonia,Ciudad,Estado,CP,Teléfono,Teléfono,Teléfono,Fax,Formato
1,1,"Santo Domingo","Av. Santo Domingo",1800,"Villas de Santo Domingo","San Nicolás de los Garza","Nuevo León",66437,018183299000,Ext5001127,,,Soriana
1,2,"San Isidro","Blvd. Venustiano Carranza",4826,Doctores,Saltillo,Coahuila,25250,018444160206,018444160296,,018444160362,Soriana
1,3,Escobedo,"Av. Parque Industrial",201,"Los Girasoles 2o. Sector",Escobedo,"Nuevo León",66050,018183299000,Ext5003126,,Ext5003111,Soriana
1,4,Oriente,"Blvd. Torreón-Matamoros",5000,"Fracc. La Merced",Torreón,Coahuila,27270,018717212263,018717213750,018717215743,,Soriana
1,5,Vallarta,"Av. Colón y Bernardo Reyes",S/N,Industrial,Monterrey,"Nuevo León",64000,018183299000,Ext5005126/127,,Ext5005111,Soriana
1,6,Tecnológico,"Av. Tecnológico",6902,"Fracc. Santa Bárbara",Chihuahua,Chihuahua,31150,016144400031,016144400032,016144400033,,Soriana
1,7,Contry,"Av. Eugenio Gaza Sada y Alfonso Reyes",S/N,Contry,Monterrey,"Nuevo León",64860,018183299000,Ext5007126/127,,Ext5007111,Soriana
1,8,Guadalupe,"Av. Benito Juárez",601,"La Huerta",Guadalupe,"Nuevo León",67140,018183299000,Ext5008126/127,,Ext5008111,Soriana
1,9,"La Fe","Av. Félix Galván esquina con Av. Miguel Alemán",100,"La Fe","San Nicolás de los Garza","Nuevo León",66447,018183299000,Ext5009126/127,,Ext5009111,Soriana
1,10,Lincoln,"Av. Abraham Lincoln y Gonzalitos",S/N,"Mitras Norte",Monterrey,"Nuevo León",64320,018183299000,Ext5010126/127,,Ext5010111,Soriana
1,11,"Francisco Coss","Blvd. Francisco Coss",S/N,Centro,Saltillo,Coahuila,25000,018444158808,018444154630,018444154648,018444154690,Soriana
1,12,"San Nicolás","Av. Alfonso Reyes y Fray Bartolomé de las Casas",601,"El Roble","San Nicolás de los Garza","Nuevo León",66450,018183299000,Ext5012126/127,,018183323837,Soriana
1,13,Monclova,"Brasil y Huemac",S/N,Anáhuac,Monclova,Coahuila,25750,018666312400,018666312411,018666312503,018666312705,Soriana
1,14,"San Pedro","Av. Humberto Lobo y Río Guadalquivir",520,"Del Valle","San Pedro Garza García","Nuevo León",66200,018183299000,Ext2226/2218,,Ext2211,Soriana
1,15,"López Mateos","Perimetral Carlos Amaya",2125,"Partido Iglesias","Cd. Juárez",Chihuahua,32380,016566390374,016566390380,,,Soriana
1,16,Bugambilias,"Bugambilias y Prolongación Mariano Otero",130-A,Bugambilias,Zapopan,Jalisco,45120,013336129592,013336129593,013336935265,,Soriana
1,17,Matamoros,"Av. Pedro Cárdenas Gtz.",1900,Victoria,Matamoros,Tamaulipas,87300,018688174538,018688174539,018688173548,018688173548,Soriana
1,18,Hidalgo,"Blvd. Hidalgo y Fuente de Diana Km. 101",S/N,"Fracc. Las Fuentes",Reynosa,Tamaulipas,88710,018999234771,018999234060,,018999231541,Soriana
1,19,Reforma,"Blvd. Reforma y 15 de Septiembre",S/N,Campestre,"Nuevo Laredo",Tamaulipas,88278,018677153121,018677151334,018677153301,,Soriana
1,20,"Santa Catarina","Blvd. Díaz Ordaz",S/N,"La Fama","Santa Catarina","Nuevo León",66350,018183299000,Ext5020126/127,,Ext5020111,Soriana
1,21,"Piedras Negras","Av. Industrial y Carretera 57",203,"Venustiano Carranza","Piedras Negras",Coahuila,26070,018787832142,018787832022,018787832716,018787831899,Soriana
1,22,"Linda Vista","Av. Ruiz Cortínez y Gral. Bonifacio Salinas",600,"León XII",Guadalupe,"Nuevo León",67120,018183299000,Ext5022126/127,,Ext5022111,Soriana
1,23,"Félix U. Gómez","Av. Félix U. Gómez y Av. Los Angeles",1732,"Juana de Arco",Monterrey,"Nuevo León",64510,018183299000,Ext8726/8727,,018183311343,Soriana
1,24,Cumbres,"Alejandro de Rodas",3102-A,"Cumbres 8tvo. Sector",Monterrey,"Nuevo León",64610,018183299000,Ext2526/2527,,,Soriana
1,25,Independencia,"Blvd. Independencia Ote.",1100,Centro,Torreón,Coahuila,27000,018717297200,018717297201,018717297202,018717297202,Soriana
1,26,"San Lorenzo","Paseo Triunfo de la República",5298,"San Lorenzo","Cd. Juárez",Chihuahua,32320,016566294300,016566294304,,016566294305,Soriana
1,27,"Santa María","Av. Pablo Livas Ote.",7500,"Santa María",Guadalupe,"Nuevo León",67190,018183299000,Ext5027126/127,,Ext5027111,Soriana
1,28,"Río Nilo","Av. Río Nilo",1000,"Lomas del Nilo",Guadalajara,Jalisco,44860,013338180000,,,013338180002,Soriana
1,29,Henequén,"Av. de las Torres y Henequén",6975,"Las Dunas","Cd. Juárez",Chihuahua,32650,016566247974,016566248581,016566411636,,Soriana
1,30,Malecón,"Blvd. Mariano Escobedo Ote.",3002,Tlacuache,León,Guanajuato,37500,014777102900,014777102901,014777102903,014777102906,Soriana
1,31,"Del Río","Av. Américo Villarreal",136,"Antonio J. Bermúdez",Reynosa,Tamaulipas,67727,018999263208,018999263209,018999263213,,Soriana
1,32,Jacarandas,"Av. Arboledas",1200,"Fracc. San Miguel",Irapuato,Guanajuato,36510,014626251116,014626251182,,014626251176,Soriana
1,33,Colón,"Calzada Colón Sur",400,Centro,Torreón,Coahuila,27000,018717590630,018717590632,,,Soriana
1,34,Centro,"Av. Hidalgo",1550,Centro,Torreón,Coahuila,27000,018717126954,018717122872,,,Soriana
1,35,"20 de Noviembre","Av. 20 de Noviembre Ote.",209,Centro,Durango,Durango,34000,016188290301,016188290302,016188290303,016188290304,Soriana
1,36,"Niños Héroes","Av. Niños Héroes",1,Centro,Chihuahua,Chihuahua,31000,016144104960,016144107081,,,Soriana
1,37,"Gómez Palacio","Av. Victoria y Urrea",S/N,Centro,"Gómez Palacio",Durango,35000,018717373486,018717373487,018717373489,,Soriana
1,38,Universidad,"Av. Universidad",3500,Magisterial,Chihuahua,Chihuahua,31170,016144391200,016144391201,016144391201,016144391202,Soriana
1,39,Sanders,"Calz. Eduardo Sander´s",S/N,Barreal,"Cd. Juárez",Chihuahua,32040,016566322549,016566322339,,,Soriana
1,40,Aguascalientes,"Av. Universidad y Blvd. Aguascalientes",S/N,"Bosques del Prado",Aguascalientes,Aguascalientes,20120,014499120603,014499120363,,014499148489,Soriana
1,41,Fundadores,"Blvd. Revolución y Calz. Saltillo 400",S/N,"Campestre La Rosita",Torreón,Coahuila,27250,018717325765,018717320730,018717326721,,Soriana
1,42,"Plaza Juárez","Ejército Nacional y  Av. Tecnológico",2701,"El Marquéz","Cd. Juárez",Chihuahua,32601,016566237867,016566237868,016566237870,,Soriana
1,43,Constitución,"Blvd. Constitución",1111,Margaritas,Torreón,Coahuila,27130,018717137492,018717137639,018717137765,,Soriana
1,44,Zacatecas,"Blvd. López Portillo y Calz. García Salinas",1,Fovissste,Zacatecas,Zacatecas,98064,014929231091,014929231089,,014929233357,Soriana
1,45,Madero,"Av. Domingo Arrieta y Chihuahua",700,"Fraccionamiento Francisco I. Madero",Durango,Durango,34150,016188138670,016188276642,016188276643,,Soriana
1,46,Delicias,"Calz. Gómez Morín Ote.",S/N,Centro,Delicias,Chihuahua,33000,016394724523,016394724686,016394724533,016394724845,Soriana
1,47,"Las Fuentes","Calle del Arcángel",20,"La Fuente",Torreón,Coahuila,27280,018717322258,018717219547,,018717630573,Soriana
1,48,Jardines,"Blvd. Francisco Villa y Magnolia",100,"Jardines de Durango",Durango,Durango,34220,016181434206,016181434208,016181434210,,Soriana
1,49,"Las Rosas","Blvd. Miguel Alemán",1495,"Las Rosas","Gómez Palacio",Durango,35090,018717373484,018717373479,018717373480,,Soriana
1,50,Fresnos,"Manuel Herrera",101,"Las Praderas",Apodaca,"Nuevo León",66636,018183299000,Ext5050119,Ext5050120,N/A,Soriana
1,51,"Las Palmas","Juana B. Tijerina Norte",2033,"Fracc. Las Palmas","Cd. Victoria",Tamaulipas,87140,018343143152,018343143154,018343143157,018343143153,Soriana
1,52,Pape,"Blvd. Harold Pape",1202,Loma,Monclova,Coahuila,25770,018666339606,018726339608,018726339609,018726339622,Soriana
1,53,"Las Torres","Av. Lázaro Cárdenas",2801,"Los Rosales",Monterrey,"Nuevo León",64640,018183299000,Ext5053119,Ext5053126,Ext5053111,Soriana
1,54,"San Agustín","Av. Real de San Agustín",314,"Residencial San Agustín","San Pedro Garza García","Nuevo León",66260,018183299000,Ext5054119,Ext5054126,Ext5054111,Soriana
1,55,Mirador,"Indiana entre Blvd. Ortiz Mena y Av. Mirador",3300,"Las Águilas",Chihuahua,Chihuahua,31237,016144233573,016144233574,016144233578,016144233576,Soriana
1,56,Ejército,"Av. Ejército Mexicano y Estadio",1101,Tampico,Tampico,Tamaulipas,89137,018332139447,018332138725,018332178881,018332134554,Soriana
1,57,Zapopan,"Periférico Norte y Blvd. B. de San Isidro",221-A,"Valle de San Isidro",Zapopan,Jalisco,45130,013333641783,013333641784,013333641785,,Soriana
1,58,"Lauro Villar","Av. Lauro Villar y Acción Cívica",1203,"Las Arboledas",Matamoros,Tamaulipas,87448,018688143584,018688143585,018688143586,,Soriana
1,59,"La Puerta","Calle Urano",2620,"Puerta del Sol","Santa Catarina","Nuevo León",66367,018183299000,Ext5059119,Ext5059126,Ext5059111,Soriana
1,60,Fresnillo,"Av. Plateros y Paseo del Mineral (antes Libramiento de tránsito pesado)",429,"Barrio Alto",Fresnillo,Zacatecas,99070,014939328642,,,014939328577,Soriana
1,61,Cordilleras,"Av. Manuel J. Clouthier y Av. Patria",888,"Jardines de Guadalupe",Zapopan,Jalisco,45050,013336203282,013336202887,,,Soriana
1,62,Quintana,"Prol. Ezequiel Montes",8,"San Pablo Tecnológico",Querétaro,Queretaro,76130,014422178822,014422175826,,014422175826,Soriana
1,63,"Santa Cruz","Carretera Monterrey - Reynosa",101,"29 de Julio",Guadalupe,"Nuevo León",65196,018183299000,Ext5063119,Ext5063126,Ext5063111,Soriana
1,64,Carrizo,Belden,7435,"Buena Vista","Nuevo Laredo",Tamaulipas,88120,018677100506,018687100645,,018687100460,Soriana
1,65,Lourdes,"Blvd. Antonio Cárdenas y Luis Echeverría",999,Lourdes,Saltillo,Coahuila,25090,018444171148,018444172148,,,Soriana
1,66,Estanzuela,"Carretera Nacional y Calle la Estanzuela",7877,"La Estanzuela",Monterrey,"Nuevo León",64988,018183299000,Ext5066119,Ext5066126,Ext5066111,Soriana
1,67,Mante,"Calle Vicente Guerrero y Av. Libertad Ote.",900,Centro,"Cd. Mante",Tamaulipas,89800,018312340165,018312340166,018312340167,018312328150,Soriana
1,68,Acuña,"Libramiento José de las Fuentes Rodríguez y Libramiento Emilio Mendoza",595,"Fraccionamiento La Amistad",Acuña,Coahuila,26200,018777722062,018777725930,,018777726019,Soriana
1,69,"El Paseo","Salvador Nava esquina con Rutilio Torres",435,"Fraccionamiento Central","San Luis Potosí","San Luis Potosí",78399,014448187151,014448187159,,014448187199,Soriana
1,70,Porvenir,"Av. Manuel J. Cloutier esq. con Manuel Gómez Morín",450,"Río Grande","Cd. Juárez",Chihuahua,32574,016566821602,016566821628,,,Soriana
1,71,"Río Bravo","Av. Francisco I. Madero Pte. entre 27 de Febrero y Ferrocarril",1160,"Del Valle","Río Bravo",Tamaulipas,88950,018999348328,018999348330,018999348331,018999348329,Soriana
1,72,"El Palmar","Av. Universidad y Diagonal Las Palmas Nte.",101,"Paraíso Coatzacoalcos",Coatzacoalcos,Veracruz,96520,019212186452,,,,Soriana
1,73,"Boca del Río","Av. Adolfo Ruiz Cortinez y Av. Juan Pablo II",1350,"Frac. Sutsem",Veracruz,Veracruz,94299,012299226970,012299226971,012299226972,012299226976,Soriana
1,74,Tlaxcala,"Carretera Tlaxcala a Ocotlán y Calle Volcanes",20,Ocotlán,Tlaxcala,Tlaxcala,90100,012464661080,012464661081,,,Soriana
1,75,Tamatán,"Calzada General Luis Caballero Esq. Río Corona",250,Zozaya,"Cd. Victoria",Tamaulipas,87070,018343153561,018343153562,018343153563,018343153567,Soriana
1,76,Aeropuerto,"Carretera a Tampico Mante",6905,"Francisco Javier Mina",Tampico,Tamaulipas,89318,018332283912,018332284029,,018332285196,Soriana
1,77,"Fuentes Mares","José Fuentes Mares esq. Independencia",300,"Santa Rosa 10° sector",Chihuahua,Chihuahua,31050,016144590080,,,,Soriana
1,78,Satélite,"Div. Miguel Cervantes Saavedra y Torres Landa",1701,"La Piscina",León,Guanajuato,37430,014777784241,014777784242,,,Soriana
1,79,Uruapan,"Paseo de la Revolución y Camino de la Fundación",3753,"Emiliano Zapata",Uruapan,Michoacan,60180,014525271015,014525270272,014525270303,014525270393,Soriana
1,80,Colima,"Ave. María Ahumada de Gómez y Enrique Corona Morfin",39,Campestre,Colima,Colima,28988,013123111276,013123111277,,013123111280,Soriana
1,81,"Poza Rica","Ave. Puebla y Calle Alamo",502,"Palma Sola","Poza Rica",Veracruz,93320,017828263390,,,,Soriana
1,82,Culiacán,"Ave. Emiliano Zapata y Manuel J. Cloutier",S/N,"El Vallado",Culiacán,Sinaloa,80180,016677148626,016677148627,,016677148610,Soriana
1,83,Villahermosa,"Periférico Carlos Pellicer Cámara esq. Usumacinta",205-A,"Plutarco Elías Calles",Villahermosa,Tabasco,86090,019933143805,019933149951,019933144162,019933123997,Soriana
1,84,Estadio,"Calzada Independencia Norte y Eutimio Pinzón",2955,"Rancho Nuevo",Guadalajara,Jalisco,44240,013331680267,013331682802,,,Soriana
1,85,Zaragoza,"Blvd. Oscar Flores esq. Blvd. Zaragoza",6751,"Nuevo Hipódromo","Cd. Juárez",Chihuahua,32674,016566203249,016566203695,016566203752,,Soriana
1,86,Pachuca,"Av. Luis Donaldo Colosio y Blvd. Nuevo Hidalgo",1501,"Venta Prieta",Pachuca,Hidalgo,42080,017717130215,017717130831,017717130225,017717144650,Soriana
1,87,Capu,"Héroes 5 de Mayo",1101,"Santa María",Puebla,Puebla,72080,012222239300,012222239301,,012222239302,Soriana
1,88,"Las Quintas","Av. López Mateos y Antiguo camino a San Rafael",S/N,"Las Quintas",Guadalupe,"Nuevo León",67167,018183299000,Ext5088119,Ext5088126/127,Ext59088111,Soriana
1,89,Saucito,"Av. de la Juventud",6300,"El Saucito",Chihuahua,Chihuahua,31165,016144395900,,,016144395902,Soriana
1,90,Iglesias,"Av. Ejército Nacional",5230,"Benito Juárez","Cd. Juárez",Chihuahua,32390,016566295700,016566295702,016566295705,016566295700,Soriana
1,91,Bachoco,"Blvd. Morelos",432,Bachoco,Hermosillo,Sonora,83148,016622593100,016622593110,,016622593102,Soriana
1,92,Solidaridad,"Luis Donaldo Colosio",1900,"Barrio de San Luis",Escobedo,"Nuevo León",66050,018183299000,Ext5092119,Ext5092126/127,Ext5092111,Soriana
1,93,Hamburgo,"Periférico Torreón – Gómez Km. 6.7",501,"Fraccionamiento Residencial Hamburgo","Gómez Palacio",Durango,35010,018717373574,018717373575,018717373576,,Soriana
1,94,Ribereña,"Av. José Zertuche",1100,Contry,Reynosa,Tamaulipas,88620,018999249613,018999240872,,,Soriana
1,95,Mazatlán,"Ave. Insurgentes Esq. con Carr. Internacional Nte.",1198,"Villa del Estero",Mazatlán,Sinaloa,82156,016699832813,016699832916,,016699832429,Soriana
1,96,Torrecillas,"Ave. Municipio Libre y Calle Nayarit",555,"Infonavit Loma Bella",Puebla,Puebla,72490,012222239310,012223991326,012223991329,012222239311,Soriana
1,97,Juventud,"Av. de la Juventud",401,"Paseos de Chihuahua",Chihuahua,Chihuahua,31119,016144832757,016144832758,016144832759,,Soriana
1,98,Encinas,"Periférico Poniente y Blvd. Jesús García Morales",2,"El Llano",Hermosillo,Sonora,83210,016622629036,016622629037,016622629038,016622593113,Soriana
