1020,MANUEL ACUÑA,01 33,36-42-41-13,36-42-43-14,36-42-46-79,36-42-57-31,,Ext. 134,JALISCO,GUADALAJARA ,"Av. Manuel Acuña No. 3200 Fracc. Monraz Guadalajara, Jalisco C.P. 44690"
1039,ZAVALETA,01 22,21-69-51-52,21-69-51-54,21-69-51-53,,,EXT.134,"PUEBLA, PUE",PUEBLA ,Calz. Zavaleta 3320 Col. Santa Cruz Buenavista C.P. 72170 Puebla Pue.
1053,ACOXPA,01 55,56-79-26-70,56-79-26-84,56-79-27-23,56-79-27-32,,56-79-27-66,"MEXICO, D.F",AREA METROPOLITANA,"Calz. Acoxpa No. 438, Esq. Con Calzada De Guadalupe, Col. Ex hacienda Coapa, C.P. 14300, Del. Tlalpan, D.F."
1074,MARIANO OTERO,01 33,38-55-80-01,38-55-81-23,31-33-41-61,,,Ext. 133,JALISCO,ZAPOPAN,"Av. Mariano Otero 3386 Col. El Colli Zapopan, Jalisco C.P. 45036"
1075,PROVIDENCIA,01722,2351219,2351220,2351221,2351222,,,"TOLUCA, EDO. MEX",TOLUCA,"Av. Ignacio Comonfort No. 654 Norte Lote 1 Manzana Vi Col. Residencial La Providencia C.P. 52172 Metepec, Edo. De Mexico"
1100,LAS TORRES,01 47,77-18-44-38,77-18-45-16,77-18-45-37,77-18-44-90,,Ext.  106,GUANANJUATO,LEON,"Blvd. Lopez Sanabria No. 101 Col. Predio Cerro Gordo C.P. 37160 Leon, Guanajuato"
1112,SAN LUIS POTOSI,01 444,825-72-01,825-72-02,825-72-03,825-72-04,825-72-05,,"S.L.P., S.L.P.",SAN LUIS POTOSI,Cordillera de Los Alpes No. 710 Col. Lomas 4ta. Sección San Luis Potosí C.P. 78216 entre Real De Lomas y Calle Karakora
1147,MORELIA,01 44,33-24-57-18,33-14-73-89,33-14-87-19,33-15-25-78,33-15-14-10,Ext. 105,MICHOACAN,MORELIA,"Av. Lic. Enrique Ramirez No.445 Loc. 5 Col. Las Américas Morelia, Mich. C.P. 58270 entre Canadá y Venezuela"
1159,TEJEDA,01 442,228-91-08,228-91-29,228-91-30,228-91-31,,,"QUERETARO, QRO.",QUERETARO,"Carret. Celaya-Querétaro No. 2  Col. Residencial Tejeda C.P. 76900 Corregidora, Querétaro"
1160,TECNOLOGICO,1722,2715749,2715751,2715752,2715753,,2715749 EXT 113,"TOLUCA, EDO. MEX.",TOLUCA,"Av. Tecnológico 960 Norte, Entre Av. Las Torres, San Salvador Tizatlalli, C.P. 52172, Metepec, Estado De México "
1196,MILENIO,01 442,198-21-04,198-21-05,198-21-06,198-21-07,198-21-09,,"QUERETARO, QRO.",QUERETARO,"Camino Real De Carretas No. 144 Col. Fracc. Milenio III Cp 76060, Querétaro, Qro."
